#   6  AB   g          r          i          z          Y          0.00054643
#   6  AB   -0.077  0.193  0.425  0.533  0.582  1.840
   104    208      6    0.7824   -0.3790   -0.7685   -0.9902   -1.0552   -1.2642
   105    210      6    0.8169   -0.3823   -0.7830   -1.0447   -1.1535   -1.4621
   106    212      6    0.6708   -0.3345   -0.6766   -0.8115   -0.8669   -0.6988
   107    214      6    0.8294   -0.4336   -0.9707   -1.2686   -1.3986   -1.6302
   108    216      6    0.8817   -0.4586   -0.9872   -1.2660   -1.3678   -1.7608
   109    218      6    0.7740   -0.3978   -0.7835   -0.9508   -1.0256   -0.9106
   110    220      6    0.8786   -0.4475   -0.9783   -1.2170   -1.2920   -1.0964
   111    222      6    0.8329   -0.4500   -1.0735   -1.4024   -1.5251   -1.8768
   112    224      6    0.8594   -0.4638   -1.0972   -1.4109   -1.5225   -1.6784
   113    226      6    0.8466   -0.4518   -1.1655   -1.5318   -1.6692   -2.0460
   114    228      6    0.8417   -0.4813   -1.2802   -1.6521   -1.7992   -1.9229
   115    230      6    0.9723   -0.6388   -1.6474   -2.0959   -2.2642   -2.3683
   116    232      6    0.8426   -0.5032   -1.2800   -1.6803   -1.8259   -2.2955
   117    234      6    0.8623   -0.6122   -1.6742   -2.1586   -2.3074   -2.4643
   118    236      6    0.8642   -0.5668   -1.4379   -1.8672   -2.0299   -2.1668
   119    238      6    0.9387   -0.6001   -1.6880   -2.1739   -2.3474   -3.0552
   120    240      6    0.8165   -0.5025   -1.4891   -1.9711   -2.1376   -2.6043
   121    242      6    0.8137   -0.6746   -1.9006   -2.4238   -2.6030   -2.7751
   122    244      6    0.7747   -0.5415   -1.8057   -2.4011   -2.6124   -3.1593
   123    246      6    0.7769   -0.7851   -2.2764   -2.9044   -3.1328   -3.4235
   124    248      6    0.6906   -0.5997   -2.1993   -2.9895   -3.2657   -3.9587
   125    250      6    0.7760   -0.8869   -2.6652   -3.3805   -3.6358   -4.5356
   126    252      6    0.6691   -0.7010   -2.6282   -3.6421   -4.0240   -4.9053
   127    254      6    0.5606   -1.2716   -3.4466   -4.4275   -4.7536   -5.7704
   128    256      6    0.5747   -0.9445   -3.2603   -4.6126   -5.1186   -6.2093
   129    258      6    0.6368   -1.1108   -3.5599   -5.2869   -6.0143   -7.4908
   130    260      6    0.6628   -0.9432   -3.2706   -4.9806   -5.7375   -7.3798
   131    262      6    0.5555   -0.8659   -3.3848   -5.2419   -6.0304   -7.6296
   132    264      6   -0.2501    0.3311    0.7363    1.0694    1.2365    2.8597
   133    266      6   -0.2264    0.3229    0.7153    1.0409    1.2051    2.8022
   134    268      6   -0.2125    0.3140    0.6970    1.0169    1.1790    2.7568
   135    270      6   -0.2452    0.3218    0.7213    1.0516    1.2176    2.8310
   136    272      6  -11.4405  -12.7963  -13.5314  -14.1705  -14.4123  -14.8493
   137    274      6  -12.1283  -13.4741  -14.0430  -14.5155  -14.6869  -15.0476
   138    276      6  -12.7658  -14.0526  -14.4924  -14.8192  -14.9399  -15.1973
   139    278      6  -13.3732  -14.5312  -14.8829  -15.1054  -15.1933  -15.2950
   140    280      6  -13.9155  -14.9094  -15.1980  -15.3660  -15.4342  -15.3737
   141    282      6  -14.3791  -15.2294  -15.4656  -15.5977  -15.6513  -15.4457
   142    284      6  -14.7752  -15.5119  -15.7039  -15.8049  -15.8451  -15.5129
   143    286      6  -15.1208  -15.7633  -15.9191  -15.9902  -16.0174  -15.5760
   144    288      6  -15.4297  -15.9879  -16.1124  -16.1558  -16.1710  -15.6355
